*****************************
Informe de Ventas
*****************************
- Cantidad Total de Genericos: 1000
- Cantidad de Genericos por Tipo: 364 (GOLD) - 325 (REGULAR) - 311 (PLUS)
- Cantidad Total de Bultos Genericodos: 49378
- Promedio de Bultos por Generico: 49.38
- Importe promedio por Generico: 547.34
*****************************
sort
28,GOLD,15,872.690002

328,GOLD,7,197.119995

118,GOLD,91,341.220001

59,GOLD,37,685.739990

60,GOLD,93,187.600006

61,GOLD,29,871.549988

333,GOLD,51,519.359985

334,GOLD,12,252.729996

209,GOLD,82,122.699997

122,GOLD,22,367.140015

337,GOLD,88,335.600006

62,GOLD,75,324.359985

339,GOLD,53,857.679993

29,GOLD,19,457.200012

125,GOLD,8,504.100006

342,GOLD,37,979.169983

30,GOLD,96,208.500000

127,GOLD,88,960.099976

216,GOLD,5,415.369995

14,GOLD,71,199.330002

32,GOLD,2,106.209999

348,GOLD,1,777.619995

349,GOLD,17,672.369995

350,GOLD,4,493.980011

351,GOLD,9,956.419983

219,GOLD,39,126.480003

130,GOLD,11,328.510010

15,GOLD,50,842.700012

68,GOLD,14,140.539993

223,GOLD,77,492.790009

357,GOLD,71,463.809998

69,GOLD,44,402.029999

359,GOLD,13,440.660004

16,GOLD,41,936.530029

361,GOLD,70,782.559998

362,GOLD,26,494.100006

135,GOLD,2,759.940002

364,GOLD,76,685.729980

9,GOLD,80,594.340027

366,GOLD,9,109.839996

367,GOLD,9,592.159973

72,GOLD,6,825.659973

369,GOLD,56,487.709991

18,GOLD,33,196.869995

74,GOLD,56,990.609985

10,GOLD,95,693.780029

20,GOLD,28,788.380005

142,GOLD,81,920.590027

21,GOLD,87,446.980011

376,GOLD,78,588.289978

377,GOLD,90,534.559998

40,GOLD,56,869.330017

379,GOLD,53,402.500000

22,GOLD,9,483.500000

146,GOLD,48,120.949997

238,GOLD,25,116.760002

383,GOLD,30,352.320007

147,GOLD,53,749.989990

240,GOLD,22,538.950012

42,GOLD,25,148.100006

387,GOLD,90,407.700012

43,GOLD,14,958.239990

389,GOLD,87,712.039978

390,GOLD,73,955.809998

391,GOLD,94,540.099976

392,GOLD,67,335.920013

150,GOLD,59,859.409973

394,GOLD,3,149.100006

244,GOLD,56,181.089996

82,GOLD,9,747.820007

23,GOLD,55,953.330017

84,GOLD,67,522.409973

399,GOLD,82,653.909973

400,GOLD,42,359.679993

401,GOLD,43,429.649994

248,GOLD,10,776.010010

249,GOLD,10,520.250000

404,GOLD,56,746.369995

405,GOLD,9,598.140015

406,GOLD,3,251.470001

407,GOLD,21,643.830017

45,GOLD,8,998.859985

86,GOLD,4,822.969971

252,GOLD,17,382.790009

156,GOLD,83,850.150024

412,GOLD,56,393.970001

413,GOLD,29,293.670013

414,GOLD,97,615.859985

157,GOLD,62,223.000000

87,GOLD,52,877.219971

417,GOLD,61,746.690002

159,GOLD,100,686.049988

88,GOLD,92,713.599976

258,GOLD,97,721.729980

421,GOLD,54,472.690002

161,GOLD,6,605.219971

423,GOLD,62,308.899994

424,GOLD,44,453.700012

425,GOLD,97,167.710007

426,GOLD,38,343.049988

46,GOLD,5,799.750000

163,GOLD,9,279.510010

164,GOLD,93,729.989990

165,GOLD,56,364.959991

47,GOLD,12,756.700012

432,GOLD,31,608.090027

265,GOLD,10,633.840027

434,GOLD,35,697.640015

435,GOLD,11,694.729980

436,GOLD,79,977.950012

5,GOLD,92,267.399994

92,GOLD,10,206.740005

268,GOLD,98,940.940002

269,GOLD,85,142.039993

270,GOLD,50,744.299988

271,GOLD,6,179.610001

443,GOLD,56,997.130005

444,GOLD,76,935.760010

272,GOLD,8,153.179993

25,GOLD,62,463.670013

274,GOLD,97,954.049988

275,GOLD,10,375.489990

94,GOLD,73,649.739990

95,GOLD,32,154.130005

7,GOLD,52,114.129997

452,GOLD,16,543.400024

173,GOLD,95,197.869995

454,GOLD,94,818.940002

455,GOLD,83,441.609985

456,GOLD,23,814.659973

280,GOLD,19,714.289978

458,GOLD,61,410.769989

281,GOLD,21,667.500000

460,GOLD,54,585.690002

97,GOLD,11,443.920013

98,GOLD,76,472.329987

463,GOLD,24,755.799988

99,GOLD,14,504.649994

285,GOLD,44,403.619995

51,GOLD,81,315.959991

178,GOLD,38,337.510010

288,GOLD,1,908.309998

101,GOLD,64,962.090027

470,GOLD,15,655.890015

180,GOLD,37,490.130005

291,GOLD,47,932.789978

473,GOLD,84,214.839996

181,GOLD,5,430.799988

102,GOLD,38,538.030029

52,GOLD,68,919.280029

295,GOLD,72,393.690002

184,GOLD,24,850.359985

104,GOLD,90,891.780029

298,GOLD,95,458.929993

481,GOLD,13,510.450012

186,GOLD,21,464.109985

105,GOLD,63,915.539978

8,GOLD,79,971.280029

302,GOLD,57,243.229996

189,GOLD,88,379.480011

304,GOLD,51,587.479980

190,GOLD,34,921.729980

489,GOLD,17,204.339996

54,GOLD,76,286.269989

192,GOLD,23,913.380005

308,GOLD,78,177.630005

493,GOLD,41,953.989990

494,GOLD,10,844.359985

309,GOLD,65,379.920013

55,GOLD,33,469.000000

497,GOLD,79,150.910004

498,GOLD,6,544.049988

499,GOLD,22,835.520020

56,GOLD,57,916.679993

501,GOLD,79,955.020020

195,GOLD,48,319.070007

313,GOLD,98,430.250000

504,GOLD,68,683.520020

196,GOLD,12,112.830002

506,GOLD,47,697.169983

507,GOLD,58,218.529999

110,GOLD,5,402.809998

111,GOLD,46,757.739990

510,GOLD,24,863.960022

511,GOLD,16,912.590027

512,GOLD,41,169.699997

317,GOLD,4,347.570007

514,GOLD,64,976.239990

515,GOLD,82,594.809998

112,GOLD,27,542.679993

113,GOLD,77,803.890015

518,GOLD,54,809.679993

114,GOLD,78,296.040009

520,GOLD,53,979.609985

57,GOLD,21,489.549988

522,GOLD,45,753.179993

322,GOLD,75,165.710007

116,GOLD,49,227.779999

324,GOLD,8,308.089996

325,GOLD,34,240.229996

527,GOLD,46,342.239990

